roundId,answer,updatedAt,phaseId,aggregatorRoundId,dateTimeAt
36893488147419103535,100024915,1640156304,2,303,2021-12-22 06:58:24
36893488147419103536,100025240,1640242698,2,304,2021-12-23 06:58:18
36893488147419103537,100041263,1640329087,2,305,2021-12-24 06:58:07
36893488147419103538,100062089,1640415580,2,306,2021-12-25 06:59:40
36893488147419103539,100056878,1640502004,2,307,2021-12-26 07:00:04
36893488147419103540,100045053,1640588365,2,308,2021-12-27 06:59:25
36893488147419103541,100034383,1640674785,2,309,2021-12-28 06:59:45
36893488147419103542,100014391,1640761213,2,310,2021-12-29 07:00:13
36893488147419103543,100021443,1640847620,2,311,2021-12-30 07:00:20
36893488147419103544,100021625,1640934049,2,312,2021-12-31 07:00:49
36893488147419103545,100009567,1641020497,2,313,2022-01-01 07:01:37
36893488147419103546,100017799,1641106896,2,314,2022-01-02 07:01:36
36893488147419103547,100018565,1641193314,2,315,2022-01-03 07:01:54
36893488147419103548,100008116,1641279719,2,316,2022-01-04 07:01:59
36893488147419103549,100000000,1641366135,2,317,2022-01-05 07:02:15
36893488147419103550,100000542,1641452548,2,318,2022-01-06 07:02:28
36893488147419103551,99980000,1641539008,2,319,2022-01-07 07:03:28
36893488147419103552,100000000,1641625420,2,320,2022-01-08 07:03:40
36893488147419103553,100014687,1641711822,2,321,2022-01-09 07:03:42
36893488147419103554,100006319,1641798222,2,322,2022-01-10 07:03:42
36893488147419103555,100004177,1641884654,2,323,2022-01-11 07:04:14
36893488147419103556,100003987,1641884721,2,324,2022-01-11 07:05:21
36893488147419103557,100021531,1641924656,2,325,2022-01-11 18:10:56
36893488147419103558,100038607,1642011061,2,326,2022-01-12 18:11:01
36893488147419103559,100041555,1642097473,2,327,2022-01-13 18:11:13
36893488147419103560,100031641,1642183981,2,328,2022-01-14 18:13:01
36893488147419103561,100051305,1642270471,2,329,2022-01-15 18:14:31
36893488147419103562,100036608,1642356875,2,330,2022-01-16 18:14:35
36893488147419103563,100026433,1642443258,2,331,2022-01-17 18:14:18
36893488147419103564,100026507,1642529672,2,332,2022-01-18 18:14:32
36893488147419103565,100032930,1642616050,2,333,2022-01-19 18:14:10
36893488147419103566,100020297,1642702480,2,334,2022-01-20 18:14:40
36893488147419103567,100006758,1642788945,2,335,2022-01-21 18:15:45
36893488147419103568,100013020,1642875430,2,336,2022-01-22 18:17:10
36893488147419103569,100026766,1642961864,2,337,2022-01-23 18:17:44
36893488147419103570,100100000,1643048386,2,338,2022-01-24 18:19:46
36893488147419103571,100059714,1643134859,2,339,2022-01-25 18:20:59
36893488147419103572,100072071,1643221248,2,340,2022-01-26 18:20:48
36893488147419103573,100022652,1643307663,2,341,2022-01-27 18:21:03
36893488147419103574,100035851,1643394059,2,342,2022-01-28 18:20:59
36893488147419103575,100055361,1643480439,2,343,2022-01-29 18:20:39
36893488147419103576,100040295,1643566921,2,344,2022-01-30 18:22:01
36893488147419103577,100041290,1643653387,2,345,2022-01-31 18:23:07
36893488147419103578,100061654,1643739780,2,346,2022-02-01 18:23:00
36893488147419103579,100042311,1643826203,2,347,2022-02-02 18:23:23
36893488147419103580,100051731,1643912618,2,348,2022-02-03 18:23:38
36893488147419103581,100054245,1643999021,2,349,2022-02-04 18:23:41
36893488147419103582,100060189,1644085412,2,350,2022-02-05 18:23:32
36893488147419103583,100065758,1644171806,2,351,2022-02-06 18:23:26
36893488147419103584,100100000,1644258207,2,352,2022-02-07 18:23:27
36893488147419103585,100081304,1644344622,2,353,2022-02-08 18:23:42
36893488147419103586,100098394,1644431133,2,354,2022-02-09 18:25:33
36893488147419103587,100071547,1644517525,2,355,2022-02-10 18:25:25
36893488147419103588,100100000,1644603940,2,356,2022-02-11 18:25:40
